user_id,item_id,interaction,Date
user_1,1,1,2008-08-11
user_1,7,1,2008-08-19
user_1,9,1,2008-08-21
user_1,10,1,2008-08-22
user_1,12,1,2008-08-26
user_1,13,1,2008-08-27
user_1,16,1,2008-09-02
user_1,19,1,2008-09-05
user_1,23,1,2008-09-11
user_1,26,1,2008-09-16
user_1,27,1,2008-09-17
user_1,34,1,2008-09-26
user_1,41,1,2008-10-07
user_1,44,1,2008-10-10
user_1,45,1,2008-10-13
user_1,46,1,2008-10-14
user_1,49,1,2008-10-17
user_1,50,1,2008-10-20
user_1,51,1,2008-10-21
user_1,52,1,2008-10-22
user_1,56,1,2008-10-28
user_1,58,1,2008-10-30
user_1,59,1,2008-10-31
user_1,67,1,2008-11-12
user_1,68,1,2008-11-13
user_1,70,1,2008-11-17
user_1,73,1,2008-11-20
user_1,75,1,2008-11-24
user_1,77,1,2008-11-26
user_1,78,1,2008-11-28
user_1,79,1,2008-12-01
user_1,81,1,2008-12-03
user_1,84,1,2008-12-08
user_1,85,1,2008-12-09
user_1,87,1,2008-12-11
user_1,88,1,2008-12-12
user_1,89,1,2008-12-15
user_1,90,1,2008-12-16
user_1,93,1,2008-12-19
user_1,94,1,2008-12-22
user_1,100,1,2008-12-31
user_1,104,1,2009-01-07
user_1,106,1,2009-01-09
user_1,119,1,2009-01-29
user_1,124,1,2009-02-05
user_1,125,1,2009-02-06
user_1,126,1,2009-02-09
user_1,131,1,2009-02-17
user_1,134,1,2009-02-20
user_1,136,1,2009-02-24
user_1,139,1,2009-02-27
user_1,148,1,2009-03-12
user_1,149,1,2009-03-13
user_1,152,1,2009-03-18
user_1,153,1,2009-03-19
user_1,154,1,2009-03-20
user_1,155,1,2009-03-23
user_1,156,1,2009-03-24
user_1,158,1,2009-03-26
user_1,159,1,2009-03-27
user_1,160,1,2009-03-30
user_1,165,1,2009-04-06
user_1,166,1,2009-04-07
user_1,168,1,2009-04-09
user_1,169,1,2009-04-13
user_1,172,1,2009-04-16
user_1,175,1,2009-04-21
user_1,176,1,2009-04-22
user_1,178,1,2009-04-24
user_1,179,1,2009-04-27
user_1,181,1,2009-04-29
user_1,183,1,2009-05-01
user_1,184,1,2009-05-04
user_1,185,1,2009-05-05
user_1,187,1,2009-05-07
user_1,188,1,2009-05-08
user_1,190,1,2009-05-12
user_1,191,1,2009-05-13
user_1,194,1,2009-05-18
user_1,197,1,2009-05-21
user_1,203,1,2009-06-01
user_1,204,1,2009-06-02
user_1,205,1,2009-06-03
user_1,206,1,2009-06-04
user_1,207,1,2009-06-05
user_1,208,1,2009-06-08
user_1,210,1,2009-06-10
user_1,212,1,2009-06-12
user_1,218,1,2009-06-22
user_1,224,1,2009-06-30
user_1,228,1,2009-07-07
user_1,230,1,2009-07-09
